TransactionID,PropertyID,CustomerID,AgentID,DateID,TransactionType,SalePrice,MonthlyRent,Commission,DaysOnMarket
T00050,P218,C0897,A023,20260522,Rent,,68951,16548.24,139
T00051,P132,C0954,A043,20250914,Sale,12604646,,252092.92,84
T00052,P046,C0161,A031,20250216,Rent,,146842,35242.08,99
T00053,P012,C0161,A043,20250506,Rent,,46288,11109.12,86
T00054,P046,C0747,A046,20250305,Sale,13339321,,266786.42,7
T00055,P218,C0063,A049,20260420,Rent,,57811,13874.64,15
T00056,P313,C0614,A002,20260511,Sale,21317312,,426346.24,27
T00057,P068,C0927,A003,20251002,Rent,,138214,33171.36,178
T00058,P129,C0783,A034,20261025,Sale,9681262,,193625.24,76
T00059,P261,C0631,A009,20250324,Sale,11293366,,225867.32,99
T00060,P446,C0265,A036,20250617,Rent,,30418,7300.32,60
T00061,P353,C0705,A017,20260511,Sale,4822562,,96451.24,163
T00062,P328,C0335,A046,20250417,Sale,29864337,,597286.74,107
T00063,P393,C0504,A035,20260605,Sale,9463276,,189265.52,77
T00064,P051,C0224,A023,20250812,Sale,24387493,,487749.86,6
T00065,P116,C0180,A028,20251223,Sale,24786358,,495727.16,180
T00066,P143,C0049,A033,20250908,Rent,,148444,35626.56,97
T00067,P216,C0080,A048,20250811,Rent,,105979,25434.96,169
T00068,P479,C0675,A019,20260503,Sale,20094066,,401881.32,125
T00069,P040,C0302,A041,20260725,Rent,,89010,21362.4,98
T00070,P096,C0611,A029,20260403,Rent,,70360,16886.4,128
T00071,P374,C0166,A030,20261118,Rent,,41266,9903.84,39
T00072,P113,C0387,A037,20251007,Rent,,39192,9406.08,155
T00073,P019,C0799,A002,20250523,Rent,,61537,14768.88,151
T00074,P425,C0383,A003,20250722,Rent,,101637,24392.88,173
T00075,P199,C0645,A006,20260512,Sale,23605064,,472101.28,28
T00076,P333,C0562,A002,20250821,Rent,,148290,35589.6,75
T00077,P075,C0338,A011,20260208,Sale,17492734,,349854.68,49
T00078,P321,C0458,A037,20260109,Sale,14969365,,299387.3,102
T00079,P282,C0673,A008,20260623,Sale,20294507,,405890.14,13
T00080,P287,C0713,A021,20251024,Sale,17497498,,349949.96,20
T00081,P208,C0846,A048,20250421,Rent,,102481,24595.44,165
T00082,P338,C0247,A030,20250730,Sale,23680694,,473613.88,130
T00083,P428,C0230,A005,20251115,Sale,28405444,,568108.88,163
T00084,P304,C0284,A007,20250617,Rent,,96524,23165.76,98
T00085,P054,C0314,A037,20250504,Rent,,43163,10359.12,33
T00086,P152,C0849,A026,20251217,Sale,8035475,,160709.5,18
T00087,P193,C0717,A023,20260402,Sale,5817550,,116351,5
T00088,P032,C0696,A002,20251206,Sale,10624093,,212481.86,99
T00089,P466,C0302,A025,20261125,Rent,,149967,35992.08,29
T00090,P104,C0070,A043,20250404,Sale,16655885,,333117.7,16
T00091,P481,C0255,A012,20250529,Rent,,44811,10754.64,79
T00092,P292,C0768,A022,20251207,Rent,,68086,16340.64,27
T00093,P385,C0868,A018,20260806,Rent,,128481,30835.44,111
T00094,P331,C0187,A030,20260316,Rent,,44658,10717.92,119
T00095,P129,C0689,A022,20260329,Sale,16692462,,333849.24,38
T00096,P026,C0749,A034,20251008,Rent,,22643,5434.32,74
T00097,P177,C0313,A019,20261223,Rent,,126326,30318.24,80
T00098,P174,C0780,A040,20251229,Rent,,43059,10334.16,65
T00099,P172,C0354,A044,20250131,Rent,,99284,23828.16,22
T00100,P492,C0959,A024,20260302,Sale,12389957,,247799.14,158
T00101,P477,C0220,A021,20261211,Sale,4635714,,92714.28,92
T00102,P042,C0647,A009,20251004,Rent,,52860,12686.4,75
T00103,P336,C0828,A047,20250329,Sale,17145537,,342910.74,83
T00104,P322,C0073,A039,20251030,Sale,6819927,,136398.54,81
T00105,P085,C0640,A010,20261204,Sale,14398713,,287974.26,109
T00106,P306,C0706,A014,20251110,Rent,,99963,23991.12,44
T00107,P394,C1000,A028,20250605,Sale,18345236,,366904.72,46
T00108,P071,C0586,A017,20250417,Sale,12783572,,255671.44,15
T00109,P189,C0949,A010,20261110,Sale,18245602,,364912.04,32
T00110,P268,C0374,A026,20261212,Sale,15765395,,315307.9,90
T00111,P208,C0885,A017,20250309,Sale,12217539,,244350.78,36
T00112,P331,C0963,A029,20250216,Rent,,23592,5662.08,126
T00113,P426,C0039,A004,20260126,Rent,,33113,7947.12,128
T00114,P166,C0638,A050,20250805,Sale,13418017,,268360.34,136
T00115,P433,C0721,A013,20250107,Rent,,138314,33195.36,129
T00116,P036,C0682,A031,20261105,Rent,,105652,25356.48,17
T00117,P270,C0596,A036,20251013,Sale,23198155,,463963.1,133
T00118,P037,C0205,A042,20260813,Rent,,30532,7327.68,18
T00119,P373,C0529,A015,20260611,Sale,14054316,,281086.32,135
T00120,P061,C0423,A034,20250213,Rent,,131402,31536.48,23
T00121,P224,C0845,A016,20250816,Sale,16917386,,338347.72,46
T00122,P136,C0752,A019,20250611,Sale,12911720,,258234.4,170
T00123,P340,C0497,A036,20251130,Rent,,135161,32438.64,133
T00124,P343,C0666,A011,20250615,Rent,,88721,21293.04,76
T00125,P183,C0250,A024,20260516,Rent,,30824,7397.76,106
T00126,P430,C0133,A009,20250708,Rent,,45821,10997.04,80
T00127,P215,C0505,A031,20260419,Rent,,49401,11856.24,44
T00128,P338,C0198,A013,20251115,Rent,,45186,10844.64,146
T00129,P458,C0244,A016,20261218,Sale,10968576,,219371.52,153
T00130,P068,C0023,A043,20251202,Rent,,100950,24228,146
T00131,P402,C0716,A011,20250119,Sale,23135269,,462705.38,20
T00132,P168,C0021,A004,20261022,Rent,,93727,22494.48,10
T00133,P374,C0429,A030,20250219,Sale,8028763,,160575.26,92
T00134,P235,C0686,A012,20250422,Sale,5845566,,116911.32,58
T00135,P397,C0050,A047,20260115,Rent,,65182,15643.68,32
T00136,P129,C0768,A035,20250430,Rent,,59919,14380.56,75
T00137,P161,C0781,A050,20260827,Rent,,132006,31681.44,95
T00138,P226,C0436,A032,20261114,Rent,,72115,17307.6,11
T00139,P279,C0157,A019,20250802,Sale,23894315,,477886.3,36
T00140,P277,C0341,A043,20250119,Sale,11117144,,222342.88,96
T00141,P299,C0459,A028,20251125,Sale,25833283,,516665.66,123
T00142,P043,C0012,A012,20250315,Sale,29605109,,592102.18,12
T00143,P162,C0539,A039,20250730,Sale,27837981,,556759.62,140
T00144,P452,C0026,A048,20260425,Rent,,140665,33759.6,92
T00145,P261,C0052,A047,20261108,Sale,6188101,,123762.02,113
T00146,P232,C0777,A049,20250731,Sale,13423067,,268461.34,164
T00147,P403,C0858,A046,20260807,Sale,26338830,,526776.6,129
T00148,P380,C0902,A003,20250615,Sale,17469733,,349394.66,20
T00149,P330,C0830,A016,20261005,Rent,,53472,12833.28,121
T00150,P380,C0236,A045,20260516,Sale,6438118,,128762.36,107
T00151,P090,C0605,A046,20250809,Sale,24810849,,496216.98,29
T00152,P443,C0428,A016,20251219,Sale,28129718,,562594.36,81
T00153,P456,C0232,A043,20250527,Rent,,25457,6109.68,59
T00154,P374,C0096,A033,20260701,Rent,,123932,29743.68,165
T00155,P050,C0497,A007,20260517,Sale,24682365,,493647.3,49
T00156,P369,C0504,A046,20260925,Rent,,76155,18277.2,158
T00157,P332,C0510,A047,20250126,Sale,11071363,,221427.26,19
T00158,P143,C0404,A013,20250111,Sale,23903507,,478070.14,81
T00159,P396,C0791,A035,20250519,Sale,25819174,,516383.48,84
T00160,P075,C0465,A024,20260107,Rent,,71564,17175.36,96
T00161,P113,C0336,A047,20251127,Sale,5991158,,119823.16,19
T00162,P353,C0817,A011,20250412,Rent,,67295,16150.8,55
T00163,P289,C0144,A010,20261120,Rent,,148686,35684.64,28
T00164,P214,C0446,A045,20260102,Rent,,131931,31663.44,107
T00165,P479,C0175,A024,20260103,Sale,27994667,,559893.34,15
T00166,P054,C0888,A018,20250131,Rent,,48114,11547.36,17
T00167,P382,C0828,A003,20260713,Rent,,114688,27525.12,91
T00168,P004,C0789,A019,20260619,Sale,28224189,,564483.78,143
T00169,P342,C0579,A034,20251102,Rent,,78531,18847.44,138
T00170,P240,C0288,A001,20260414,Sale,15616279,,312325.58,71
T00171,P184,C0079,A037,20250619,Sale,11056338,,221126.76,147
T00172,P468,C0545,A037,20260811,Sale,13816055,,276321.1,103
T00173,P076,C0397,A005,20250818,Rent,,132300,31752,57
T00174,P299,C0143,A010,20260508,Rent,,42731,10255.44,81
T00175,P481,C0867,A016,20260509,Rent,,143479,34434.96,102
T00176,P455,C0920,A040,20260306,Sale,16852107,,337042.14,24
T00177,P417,C0161,A001,20250302,Sale,8305656,,166113.12,163
T00178,P461,C0929,A009,20250922,Rent,,140280,33667.2,97
T00179,P107,C0452,A030,20260422,Sale,27818915,,556378.3,53
T00180,P249,C0347,A004,20250912,Sale,8004155,,160083.1,14
T00181,P480,C0588,A018,20250827,Sale,15763378,,315267.56,31
T00182,P260,C0508,A036,20260328,Rent,,86325,20718,31
T00183,P058,C0711,A010,20250330,Sale,8949715,,178994.3,161
T00184,P463,C0541,A025,20250926,Sale,22637269,,452745.38,76
T00185,P101,C0769,A012,20261117,Sale,20386620,,407732.4,70
T00186,P271,C0794,A018,20260607,Sale,19806930,,396138.6,137
T00187,P338,C0675,A019,20250429,Rent,,29345,7042.8,82
T00188,P180,C0699,A011,20260825,Rent,,75680,18163.2,46
T00189,P313,C0733,A013,20260210,Sale,13730030,,274600.6,168
T00190,P411,C0288,A038,20250726,Sale,20235374,,404707.48,173
T00191,P043,C0971,A002,20250531,Sale,9172195,,183443.9,72
T00192,P227,C0125,A004,20250919,Rent,,83751,20100.24,49
T00193,P287,C0852,A039,20260505,Sale,17613682,,352273.64,103
T00194,P206,C0368,A050,20261115,Rent,,42520,10204.8,144
T00195,P450,C0890,A030,20250614,Sale,26115464,,522309.28,32
T00196,P075,C0489,A011,20251021,Sale,29315300,,586306,109
T00197,P265,C0272,A011,20260101,Sale,12920602,,258412.04,137
T00198,P132,C0494,A002,20250303,Sale,20055886,,401117.72,40
T00199,P250,C0421,A002,20250320,Rent,,68732,16495.68,122
T00200,P147,C0548,A019,20250205,Sale,24452102,,489042.04,171
T00201,P106,C0541,A006,20250103,Rent,,134693,32326.32,44
T00202,P124,C0995,A034,20250814,Sale,16282888,,325657.76,138
T00203,P143,C0424,A036,20250415,Sale,15420078,,308401.56,9
T00204,P201,C0802,A036,20260102,Sale,28426826,,568536.52,69
T00205,P029,C0524,A023,20261204,Sale,13011002,,260220.04,33
T00206,P120,C0820,A001,20250719,Sale,27222367,,544447.34,94
T00207,P167,C0904,A045,20260815,Sale,10662775,,213255.5,156
T00208,P383,C0215,A023,20250217,Rent,,129622,31109.28,91
T00209,P492,C0927,A019,20250204,Rent,,65915,15819.6,67
T00210,P448,C0182,A005,20260430,Rent,,22526,5406.24,156
T00211,P331,C0537,A043,20251031,Rent,,148814,35715.36,176
T00212,P013,C0672,A032,20260605,Rent,,93449,22427.76,105
T00213,P329,C0098,A038,20250525,Sale,24678432,,493568.64,177
T00214,P056,C0612,A017,20260816,Sale,6620586,,132411.72,40
T00215,P006,C0263,A049,20260917,Sale,26121219,,522424.38,160
T00216,P314,C0411,A016,20260307,Rent,,145200,34848,70
T00217,P158,C0075,A037,20260809,Sale,14195194,,283903.88,176
T00218,P406,C0982,A013,20250728,Rent,,81219,19492.56,5
T00219,P403,C0388,A015,20260204,Sale,19088930,,381778.6,134
T00220,P037,C0112,A022,20250529,Sale,13225610,,264512.2,71
T00221,P405,C0910,A044,20261129,Sale,10812165,,216243.3,22
T00222,P040,C0604,A012,20250731,Sale,6893444,,137868.88,62
T00223,P361,C0070,A014,20251221,Rent,,145112,34826.88,79
T00224,P016,C0530,A024,20250311,Sale,14506766,,290135.32,27
T00225,P041,C0970,A028,20250517,Rent,,97587,23420.88,168
T00226,P044,C0547,A022,20250130,Sale,28927357,,578547.14,117
T00227,P463,C0449,A046,20260228,Sale,24632723,,492654.46,11
T00228,P293,C0544,A033,20250509,Sale,17903870,,358077.4,103
T00229,P240,C0843,A033,20251204,Sale,8609934,,172198.68,176
T00230,P146,C0231,A047,20260420,Sale,14702769,,294055.38,65
T00231,P475,C0230,A005,20251101,Rent,,77177,18522.48,83
T00232,P023,C0738,A043,20250307,Sale,7875837,,157516.74,143
T00233,P354,C0779,A007,20260808,Rent,,58737,14096.88,162
T00234,P008,C0132,A010,20260224,Sale,7266252,,145325.04,40
T00235,P381,C0887,A026,20250824,Rent,,122990,29517.6,65
T00236,P198,C0253,A022,20250402,Rent,,107581,25819.44,67
T00237,P390,C0007,A013,20250105,Rent,,133068,31936.32,67
T00238,P174,C0309,A010,20250412,Sale,16055710,,321114.2,102
T00239,P454,C0429,A024,20250403,Sale,19642342,,392846.84,122
T00240,P204,C0718,A040,20260611,Rent,,100053,24012.72,127
T00241,P309,C0682,A017,20250312,Rent,,45565,10935.6,105
T00242,P401,C0639,A026,20260617,Sale,12149361,,242987.22,72
T00243,P462,C0284,A021,20260115,Sale,13634755,,272695.1,102
T00244,P023,C0931,A011,20260213,Sale,8232970,,164659.4,53
T00245,P447,C0425,A019,20251015,Rent,,25773,6185.52,79
T00246,P226,C0872,A044,20261119,Rent,,89080,21379.2,129
T00247,P253,C0740,A040,20250830,Sale,22242898,,444857.96,121
T00248,P369,C0549,A036,20261216,Sale,26362185,,527243.7,38
T00249,P275,C0700,A034,20250802,Sale,18109711,,362194.22,174
T00250,P136,C0778,A034,20260123,Sale,9300318,,186006.36,162
T00251,P289,C0011,A050,20250227,Rent,,23229,5574.96,120
T00252,P495,C0079,A046,20260129,Sale,8576018,,171520.36,114
T00253,P171,C0751,A024,20251114,Rent,,122660,29438.4,141
T00254,P332,C0231,A021,20250613,Rent,,29951,7188.24,50
T00255,P132,C0804,A021,20260124,Rent,,148331,35599.44,34
T00256,P448,C0736,A020,20250417,Rent,,46493,11158.32,53
T00257,P360,C0881,A048,20260128,Rent,,23836,5720.64,174
T00258,P079,C0908,A030,20260907,Sale,10835662,,216713.24,39
T00259,P098,C0574,A012,20260801,Sale,7063666,,141273.32,29
T00260,P224,C0058,A029,20250601,Rent,,61091,14661.84,52
T00261,P331,C0910,A007,20250716,Sale,28078651,,561573.02,119
T00262,P073,C0721,A035,20251216,Rent,,75077,18018.48,116
T00263,P280,C0367,A024,20260309,Rent,,68440,16425.6,98
T00264,P215,C0350,A022,20260424,Sale,8387564,,167751.28,120
T00265,P097,C0314,A042,20250903,Rent,,25883,6211.92,179
T00266,P280,C0109,A001,20260819,Rent,,77504,18600.96,68
T00267,P440,C0145,A027,20260717,Rent,,147783,35467.92,180
T00268,P030,C0138,A045,20250825,Sale,21241843,,424836.86,129
T00269,P031,C0067,A041,20251218,Sale,21004808,,420096.16,39
T00270,P376,C0676,A023,20250310,Rent,,34586,8300.64,107
T00271,P451,C0301,A045,20250726,Rent,,47791,11469.84,146
T00272,P146,C0916,A039,20251128,Rent,,70498,16919.52,131
T00273,P083,C0366,A038,20261017,Sale,18463989,,369279.78,172
T00274,P251,C0750,A026,20250126,Sale,18244923,,364898.46,31
T00275,P466,C0335,A001,20260810,Sale,10397879,,207957.58,19
T00276,P409,C0666,A032,20250716,Sale,5156754,,103135.08,147
T00277,P169,C0526,A039,20260123,Rent,,54165,12999.6,83
T00278,P491,C0700,A042,20250916,Rent,,84047,20171.28,136
T00279,P120,C0951,A034,20260731,Rent,,97233,23335.92,73
T00280,P404,C0195,A023,20250925,Sale,29203730,,584074.6,24
T00281,P137,C0464,A013,20250921,Sale,22311650,,446233,133
T00282,P232,C0726,A041,20250720,Sale,13672587,,273451.74,47
T00283,P266,C0926,A008,20261009,Sale,13022134,,260442.68,160
T00284,P493,C0451,A004,20260821,Sale,13675468,,273509.36,122
T00285,P302,C0496,A003,20251010,Rent,,125781,30187.44,7
T00286,P381,C0429,A020,20251231,Rent,,58330,13999.2,157
T00287,P076,C0077,A005,20251007,Sale,23621847,,472436.94,125
T00288,P148,C0625,A002,20250318,Rent,,55970,13432.8,142
T00289,P004,C0252,A009,20250804,Sale,28066728,,561334.56,70
T00290,P435,C0334,A042,20250809,Rent,,129068,30976.32,61
T00291,P269,C0689,A026,20250813,Rent,,132626,31830.24,116
T00292,P174,C0820,A013,20260702,Rent,,69380,16651.2,43
T00293,P297,C0033,A035,20250423,Rent,,134325,32238,179
T00294,P325,C0164,A044,20260820,Sale,12947076,,258941.52,172
T00295,P479,C0315,A029,20250122,Sale,10408681,,208173.62,116
T00296,P419,C0453,A020,20260929,Sale,29006016,,580120.32,179
T00297,P282,C0421,A005,20261106,Rent,,24253,5820.72,10
T00298,P333,C0252,A046,20261218,Rent,,21999,5279.76,82
T00299,P103,C0618,A023,20261123,Rent,,127037,30488.88,20
T00300,P293,C0704,A035,20250424,Rent,,74447,17867.28,34
T00301,P497,C0624,A048,20260807,Rent,,119302,28632.48,102
T00302,P467,C0488,A028,20251226,Rent,,80801,19392.24,165
T00303,P318,C0070,A012,20251017,Sale,11774155,,235483.1,29
T00304,P004,C0619,A039,20260522,Rent,,122857,29485.68,108
T00305,P264,C0037,A037,20250628,Sale,17036290,,340725.8,167
T00306,P428,C0607,A004,20260731,Sale,9207243,,184144.86,158
T00307,P499,C0853,A006,20260915,Rent,,83383,20011.92,69
T00308,P304,C0363,A030,20260920,Sale,19897434,,397948.68,13
T00309,P022,C0088,A001,20260831,Rent,,30960,7430.4,113
T00310,P493,C0033,A026,20251225,Sale,19036019,,380720.38,65
T00311,P112,C0141,A032,20250919,Sale,13559817,,271196.34,73
T00312,P395,C0330,A030,20250329,Rent,,99919,23980.56,20
T00313,P191,C0325,A040,20250409,Rent,,46410,11138.4,13
T00314,P420,C0780,A016,20260924,Sale,9991935,,199838.7,17
T00315,P023,C0525,A008,20260908,Sale,12872691,,257453.82,12
T00316,P120,C0855,A029,20260816,Rent,,118619,28468.56,169
T00317,P392,C0589,A001,20250424,Rent,,55692,13366.08,84
T00318,P228,C0841,A038,20260304,Sale,25523120,,510462.4,166
T00319,P083,C0574,A006,20260828,Sale,12909723,,258194.46,30
T00320,P221,C0030,A042,20260823,Rent,,139479,33474.96,124
T00321,P318,C0770,A033,20261223,Sale,29747098,,594941.96,39
T00322,P061,C0732,A043,20260206,Rent,,103422,24821.28,124
T00323,P421,C0994,A003,20251024,Sale,8941120,,178822.4,141
T00324,P368,C0123,A029,20250519,Sale,5576322,,111526.44,117
T00325,P022,C0819,A021,20250617,Rent,,115546,27731.04,38
T00326,P191,C0020,A011,20260612,Rent,,101619,24388.56,115
T00327,P128,C0722,A048,20260119,Sale,10424966,,208499.32,138
T00328,P121,C0878,A012,20260719,Sale,5015382,,100307.64,53
T00329,P015,C0988,A013,20250503,Sale,16634936,,332698.72,122
T00330,P417,C0016,A026,20251231,Sale,18529851,,370597.02,166
T00331,P151,C0499,A041,20250311,Rent,,106963,25671.12,155
T00332,P402,C0516,A036,20260923,Rent,,75148,18035.52,77
T00333,P177,C0287,A047,20261108,Sale,8202051,,164041.02,84
T00334,P259,C0686,A017,20260914,Rent,,87221,20933.04,141
T00335,P331,C0649,A040,20250716,Rent,,77885,18692.4,143
T00336,P382,C0066,A049,20260308,Sale,28543335,,570866.7,47
T00337,P480,C0480,A042,20260915,Rent,,55713,13371.12,179
T00338,P194,C0577,A034,20260813,Rent,,62543,15010.32,124
T00339,P339,C0365,A001,20260224,Sale,19544117,,390882.34,168
T00340,P212,C0031,A048,20251015,Rent,,45896,11015.04,132
T00341,P368,C0948,A025,20250529,Rent,,22353,5364.72,16
T00342,P369,C0695,A005,20250809,Sale,12237510,,244750.2,27
T00343,P252,C0503,A036,20250128,Sale,29568996,,591379.92,106
T00344,P151,C0037,A031,20250113,Rent,,20032,4807.68,137
T00345,P124,C0446,A031,20250129,Sale,6815792,,136315.84,170
T00346,P150,C0241,A003,20260725,Rent,,103432,24823.68,60
T00347,P249,C0719,A049,20251016,Rent,,52800,12672,71
T00348,P336,C0533,A014,20260227,Sale,7662002,,153240.04,47
T00349,P108,C0918,A047,20260827,Sale,7138412,,142768.24,120
T00350,P470,C0185,A004,20250106,Sale,25318298,,506365.96,45
T00351,P095,C0735,A029,20250619,Sale,19057413,,381148.26,154
T00352,P465,C0207,A013,20260923,Rent,,64702,15528.48,23
T00353,P073,C0266,A047,20260912,Rent,,122697,29447.28,72
T00354,P049,C0192,A012,20260113,Rent,,83030,19927.2,164
T00355,P483,C0051,A016,20250621,Rent,,63457,15229.68,57
T00356,P122,C0128,A044,20260816,Sale,8355980,,167119.6,172
T00357,P470,C0065,A032,20251026,Sale,13838580,,276771.6,49
T00358,P261,C0816,A045,20250427,Sale,23913489,,478269.78,27
T00359,P168,C0323,A015,20260820,Sale,12510081,,250201.62,160
T00360,P022,C0720,A016,20260202,Sale,8625335,,172506.7,53
T00361,P134,C0504,A008,20260505,Rent,,74605,17905.2,73
T00362,P084,C0019,A004,20260324,Sale,5319598,,106391.96,66
T00363,P401,C0808,A041,20250306,Rent,,82472,19793.28,85
T00364,P191,C0870,A027,20250323,Sale,13168921,,263378.42,61
T00365,P331,C0084,A014,20260414,Rent,,107977,25914.48,77
T00366,P340,C0015,A013,20260207,Sale,16613259,,332265.18,31
T00367,P221,C0464,A036,20250913,Rent,,118073,28337.52,167
T00368,P003,C0302,A023,20250711,Sale,18352321,,367046.42,17
T00369,P098,C0561,A039,20251130,Rent,,58594,14062.56,110
T00370,P026,C0200,A037,20260617,Rent,,95865,23007.6,149
T00371,P337,C0821,A004,20250928,Rent,,68730,16495.2,177
T00372,P039,C0832,A005,20251129,Rent,,48196,11567.04,41
T00373,P336,C0773,A028,20251129,Rent,,143792,34510.08,23
T00374,P106,C0890,A014,20250324,Rent,,89708,21529.92,82
T00375,P009,C0193,A033,20261008,Rent,,96324,23117.76,122
T00376,P439,C0257,A005,20250210,Sale,21486958,,429739.16,82
T00377,P248,C0046,A006,20251227,Sale,11455829,,229116.58,160
T00378,P241,C0321,A028,20251119,Sale,10895027,,217900.54,111
T00379,P193,C0453,A012,20260314,Rent,,34107,8185.68,167
T00380,P225,C0767,A010,20260527,Sale,10285899,,205717.98,78
T00381,P438,C0449,A013,20261026,Sale,10806837,,216136.74,153
T00382,P139,C0754,A005,20260529,Sale,25728143,,514562.86,66
T00383,P456,C0736,A020,20250101,Rent,,76250,18300,80
T00384,P015,C0207,A001,20250523,Rent,,30447,7307.28,46
T00385,P318,C0685,A046,20260130,Sale,10620383,,212407.66,119
T00386,P436,C0112,A039,20250712,Sale,13059402,,261188.04,70
T00387,P319,C0447,A036,20260611,Sale,25381887,,507637.74,84
T00388,P396,C0486,A035,20250920,Rent,,75206,18049.44,69
T00389,P485,C0019,A041,20260130,Sale,20990751,,419815.02,65
T00390,P223,C0509,A020,20260320,Sale,13478185,,269563.7,10
T00391,P024,C0492,A014,20251024,Sale,19303293,,386065.86,100
T00392,P187,C0559,A028,20261116,Sale,9807760,,196155.2,36
T00393,P329,C0701,A031,20250718,Sale,19041641,,380832.82,173
T00394,P043,C0930,A027,20250421,Sale,10044314,,200886.28,65
T00395,P030,C0315,A048,20260920,Sale,22272805,,445456.1,96
T00396,P481,C0209,A029,20251113,Rent,,143815,34515.6,120
T00397,P332,C0898,A046,20251207,Rent,,25206,6049.44,89
T00398,P271,C0982,A012,20250628,Sale,5338976,,106779.52,101
T00399,P168,C0504,A038,20251122,Rent,,110861,26606.64,122
T00400,P388,C0056,A030,20250315,Rent,,29356,7045.44,157
T00401,P179,C0964,A039,20250605,Sale,12047987,,240959.74,142
T00402,P074,C0449,A011,20260707,Rent,,32255,7741.2,26
T00403,P257,C0935,A028,20261215,Rent,,49835,11960.4,155
T00404,P273,C0126,A009,20250726,Rent,,76493,18358.32,119
T00405,P363,C0199,A001,20251231,Sale,11867008,,237340.16,110
T00406,P075,C0966,A007,20251203,Rent,,144110,34586.4,168
T00407,P307,C0644,A046,20261012,Rent,,116720,28012.8,98
T00408,P371,C0314,A047,20250615,Rent,,114028,27366.72,140
T00409,P487,C0187,A028,20251007,Rent,,117345,28162.8,73
T00410,P021,C0193,A028,20260430,Rent,,118493,28438.32,146
T00411,P351,C0729,A050,20260206,Rent,,24799,5951.76,98
T00412,P380,C0369,A031,20250918,Sale,19497899,,389957.98,35
T00413,P347,C0667,A013,20261218,Sale,12619975,,252399.5,123
T00414,P311,C0955,A035,20260517,Rent,,75724,18173.76,48
